Domain Name,Criterion Name
Planning and Preparation,Demonstrating Knowledge of Content and Pedagogy
Planning and Preparation,Demonstrating Knowledge of Students
Planning and Preparation,Setting Instructional Outcomes
Planning and Preparation,Demonstrating Knowledge of Resources
Planning and Preparation,Designing Coherent Instruction
Planning and Preparation,Designing Student Assessments	
Classroom Environment,Creating an Environment of Respect and Rapport
Classroom Environment,Establishing a Culture for Learning
Classroom Environment,Managing Classroom Procedures
Classroom Environment,Managing Student Behavior
Classroom Environment,Organizing Physical Space
Instruction,Communicating With Students
Instruction,Using Questioning and Discussion Techniques
Instruction,Engaging Students in Learning
Instruction,Using Assessment in Instruction
Instruction,Demonstrating Flexibility and Responsiveness
Professional Responsibilities,Reflecting on Teaching
Professional Responsibilities,Maintaining Accurate Records
Professional Responsibilities,Communicating with Families
Professional Responsibilities,Participating in a Professional Community
Professional Responsibilities,Growing and Developing Professionally
Professional Responsibilities,Showing Professionalism
