Domain Name,Criterion Name
Classroom Strategies and Behaviors,Segments Involving Routine Events
Classroom Strategies and Behaviors,Segments Addressing Content
Classroom Strategies and Behaviors,Segments Enacted on the Spot
Planning and Preparing,Planning and Preparing for Lessons and Units
Planning and Preparing,Planning and Preparing for Use of Materials and Technology
Planning and Preparing,Planning and Preparing for Special Needs of Students
Reflecting on Teaching,Evaluating Personal Performance
Reflecting on Teaching,Developing and Implementing a Professional Growth and Development Plan
Collegiality and Professionalism,Promoting a Positive Environment
Collegiality and Professionalism,Promoting Exchange of Ideas and Strategies
Collegiality and Professionalism,Promoting District and School Development
