Private School Name,State Name [Private School] Latest available year,Phone Number [Private School] 2009-10,Mailing Address [Private School] 2009-10,City [Private School] 2009-10,State Abbr [Private School] Latest available year,ZIP [Private School] 2009-10
100 BLK MEN OF GREATER MOBILE'S PHOENIX PROGRAM,ALABAMA,2514579465,838 W MAIN ST,PRICHARD,AL ,36610
123 YOU N ME PRESCHOOL,ILLINOIS,3096923470,809 W DETWEILLER DR,PEORIA,IL ,61615
1ST BAPTIST CHURCH PRESCHOOL,ARKANSAS,8702265884,310 S MAIN ST,WARREN,AR ,71671
1ST CEREBRAL PALSY OF NJ,NEW JERSEY,9737510200,7 SANFORD AVE,BELLEVILLE,NJ ,07109
1ST CLASS MONTESSORI PRESCHOOL,TENNESSEE,9012745622,1336 PEABODY AVE,MEMPHIS,TN ,38104
1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NORTH CAROLINA,2529770475,100 S CHURCH ST,ROCKY MOUNT,NC ,27804
40 MILE COLONY,MONTANA,4066392457,PO BOX 3,LODGE GRASS,MT ,59050
5TH STREET COLLEGE OF BERTHOUD,COLORADO,9705323653,PO BOX 722,BERTHOUD,CO ,80513
91ST PSALM CHRISTIAN SCHOOL,ARIZONA,6022431900,2020 E BASELINE RD,PHOENIX,AZ ,85042
92ND STREET YM&YWHA NURSERY SCHOOL,NEW YORK,2124155532,1395 LEXINGTON AVE,NEW YORK,NY ,10128
A & B CHRISTIAN SCHOOL,TEXAS,7139446144,3111 FOREST OAKS BLVD,HOUSTON,TX ,77017
A B C LITTLE SCHOOL,CALIFORNIA,8187865169,6447 WOODMAN AVE,VAN NUYS,CA ,91401
A BETTER CHANCE SCHOOL/CAL AUTISM FOUNDATION,CALIFORNIA,5102621500,4138 LAKESIDE DR,RICHMOND,CA ,94806
A BOOK'S CHRISTIAN ACADEMY,FLORIDA,4078840031,1001 ROGER WILLIAMS RD,APOPKA,FL ,32703
A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,CALIFORNIA,3106734525,712 E MANCHESTER BLVD,INGLEWOOD,CA ,90301
A BRIGHT BEGINNING CHILDCARE,NEW JERSEY,7324480400,1440 HOW LN,NORTH BRUNSWICK,NJ ,08902
A BRIGHT START CHILD DEVELOPMENT CENTER,NEW JERSEY,9088220060,97 MOUNT BETHEL RD,WARREN,NJ ,07059
A C E S,CALIFORNIA,5592918101,3001 PICO AVE,CLOVIS,CA ,93619
A CHILD S PLACE,MARYLAND,4105325399,4701 N CHARLES ST,BALTIMORE,MD ,21210
A CHILD S PLACE SCHOOL,NEW JERSEY,7327470141,1409 W FRONT ST,LINCROFT,NJ ,07738
A CHILD'S DREAM CHRISTIAN SCHOOL,TEXAS,2103109240,6025 TEACH RD 104,SAN ANTONIO,TX ,78250
A CHILD'S GARDEN,OREGON,5416170434,2150 NE STUDIO RD STE 1,BEND,OR ,97701
A CHILD'S GARDEN INC,CONNECTICUT,2034020334,20 IVY BROOK RD,SHELTON,CT ,06484
A CHILD'S GARDEN MONTESSORI SCHOOL,CONNECTICUT,8605721283,28 WHITTAKER DR,STONINGTON,CT ,06378
A CHILD'S PLACE,PENNSYLVANIA,6106874999,524 SUGARTOWN RD,DEVON,PA ,19333
A CHILD'S PLACE,NEW JERSEY,9083698890,302 S BRANCH RD,HILLSBOROUGH,NJ ,08844
A CHILD'S PLACE DAY SCHOOL,NEW YORK,7185652170,3220 108TH ST,EAST ELMHURST,NY ,11369
A CHILD'S PLACE MONTESSORI SCHOOL,FLORIDA,9042684050,12601 SAN JOSE BLVD,JACKSONVILLE,FL ,32223
A CHILD'S TOUCH,COLORADO,3032868460,9141 POZE BLVD,THORNTON,CO ,80229
A CHILD'S WORLD,PENNSYLVANIA,2159498900,183 BRISTOL OXFORD VALLEY RD,LANGHORNE,PA ,19047
A CHILD'S WORLD,NORTH DAKOTA,7012988047,3100 12TH AVE N,FARGO,ND ,58102
A CHILDREN'S HABITAT MONTESSORI PRESCHOOL & KDGN,INDIANA,3177265584,801 W 73RD ST,INDIANAPOLIS,IN ,46260
A CHILDRENS PLACE LEARNING CENTER,PENNSYLVANIA,6102640440,719 ROBLE RD,ALLENTOWN,PA ,18109
A CHILDS GARDEN MONTESSORI SCHOOL,TEXAS,9724462663,1935 OLD DENTON RD,CARROLLTON,TX ,75006
A CHILDS PLACE MONTESSORI,FLORIDA,9047335797,3718 SALISBURY RD,JACKSONVILLE,FL ,32216
A CHILDS VIEW PRESCHOOL,COLORADO,3039893961,3265 S WADSWORTH BLVD BLDG 3,LAKEWOOD,CO ,80227
A CHILDS WORLD,PENNSYLVANIA,2153487200,2001 S EASTON RD,DOYLESTOWN,PA ,18901
A COUNTRY GARDEN MONTESSORI,WASHINGTON,3608258886,38722 BLACK DIAMOND RD,ENUMCLAW,WA ,98022
A DIFFERENT WORLD ACADEMY,LOUISIANA,5043944644,PO BOX 788,HARVEY,LA ,70059
A FANTIS PAROCHIAL SCHOOL,NEW YORK,7186240501,195 STATE ST,BROOKLYN,NY ,11201
A GENERATION AHEAD CHILD CARE/LEARNING CENTER,ILLINOIS,6302711025,2055 BURLINGTON AVE,LISLE,IL ,60532
A GROWING PLACE MONTESSORI SCHOOL,MISSOURI,3148639493,101 N BEMISTON AVE,SAINT LOUIS,MO ,63105
A HABITAT FOR LEARNING,TEXAS,3256922481,3242 BELTWAY S,ABILENE,TX ,79606
A JOYFUL NOISE LEARNING CENTER,CALIFORNIA,5107828593,26555 GADING RD,HAYWARD,CA ,94544
A KID'S PLACE,VIRGINIA,7034041595,12215 SUGAR MAPLE DR,HERNDON,VA ,20170
A LITTLE COLLEGE AT ROYAL OAKS,FLORIDA,3055109869,PO BOX 170363,MIAMI LAKES,FL ,33016
A MOTHER'S TOUCH CREATIVE LEARNING CENTER,ILLINOIS,8475777600,125 N DRYDEN AVE,ARLINGTON HEIGHTS,IL ,60004
A NEW DAWN ELEMENTARY SCHOOL,NEW YORK,7182061500,8914 163RD ST,JAMAICA,NY ,11432
A PLACE TO GROW,OHIO,6147931441,6760 DISCOVERY BLVD,DUBLIN,OH ,43017
A SMALL WORLD,MARYLAND,4103569290,4506 PAINTERS MILL RD,OWINGS MILLS,MD ,21117
A SMALL WORLD LEARNING CENTER IV,FLORIDA,7863182020,840 EAST 25TH ST,HIALEAH,FL ,33013
A STEP AHEAD PRESCHOOL,NEW JERSEY,2018695335,610 76TH ST,NORTH BERGEN,NJ ,07047
A STEP UP INC,RHODE ISLAND,4018237837,88 CROMPTON RD,EAST GREENWICH,RI ,02818
A UNIQUE LEARNING ACADEMY,GEORGIA,7704848226,7290 COVINGTON HWY,LITHONIA,GA ,30058
A WEE PROMISE CHRISTIAN PRESCHOOL & SCHOOL,FLORIDA,2394819951,8400 CYPRESS LAKE DR,FORT MYERS,FL ,33919
A WHIZZ KIDS PRESCHOOL INC II,ILLINOIS,7737680880,2600 E 83RD ST,CHICAGO,IL ,60617
A WORLD OF CHILDREN,VIRGINIA,7574680452,3478 HOLLAND RD,VIRGINIA BEACH,VA ,23452
A WORLD OF CHILDREN,VIRGINIA,7574366967,752 CEDAR RD,CHESAPEAKE,VA ,23322
A WORLD OF HOPE CC LEARNING CTR,GEORGIA,7068688955,671 E ROBINSON AVE,GROVETOWN,GA ,30813
A YOUNG CHILDRENS MONTESSORI ACADEMY,FLORIDA,2395409400,3221 CHIQUITA BLVD S,CAPE CORAL,FL ,33914
AARDVARK CHILD CARE & LEARNING CENTER,PENNSYLVANIA,6103588998,PO BOX 469 335 CHEYNEY RD,GLEN MILLS,PA ,19342
AARON SCHOOL,NEW YORK,2128679594,309 E 45TH ST,NEW YORK,NY ,10017
ABBEVILLE CHRISTIAN ACADEMY,ALABAMA,3345855100,PO BOX 9,ABBEVILLE,AL ,36310
ABBOTSFORD CHRISTIAN ACADEMY,WISCONSIN,7152234445,4868 CEMETARY AVE,ABBOTSFORD,WI ,54405
ABBOTT HOUSE,SOUTH DAKOTA,6059962486,909 COURT MERRILL,MITCHELL,SD ,57301
ABC 123 A CAT A ME,TEXAS,7137338365,10914 CULLEN BLVD,HOUSTON,TX ,77047
ABC ACADEMY,ILLINOIS,7733381033,2714 W PRATT BLVD,CHICAGO,IL ,60645
ABC ACADEMY,INDIANA,2199450767,480 W 61ST AVE,HOBART,IN ,46342
ABC CHILDCARE CENTER,CALIFORNIA,9516995251,29705 SOLANA WAY,TEMECULA,CA ,92591
ABC CHILDCARE LEARNING CENTER,TEXAS,9158597777,901 HORIZON BLVD,EL PASO,TX ,79927
ABC CHILDREN'S LEARNING ACADEMY,FLORIDA,5169642800,4330 SUMMIT BLVD,WEST PALM BEACH,FL ,33406
ABC CHRISTIAN ACADEMY,FLORIDA,9043530103,2360 KINGS RD,JACKSONVILLE,FL ,32209
ABC DAYCARE & KINDERGARTEN,GEORGIA,7067966455,3305 PECAN ST,AUGUSTA,GA ,30906
ABC DAYCARE CENTER,NEW JERSEY,7329207410,12 BEAVERSON BLVD,BRICK,NJ ,08723
ABC ELEMENTARY SCHOOL,NEW JERSEY,2014358326,228 BIDWELL AVE,JERSEY CITY,NJ ,07305
ABC EXPRESS PRESCHOOL INC,NEW JERSEY,8565890826,697 DELSEA DR,PITMAN,NJ ,08071
ABC GROWING TREE,NEW JERSEY,9739894141,271 US HIGHWAY 46,MINE HILL,NJ ,07803
ABC INTERNATIONAL MONTESSORI ACADEMY,MINNESOTA,9528811717,10801 NORMANDALE BLVD,BLOOMINGTON,MN ,55437
ABC JUNCTION LLC,NEW HAMPSHIRE,6034245620,259 CHARLES BANCROFT HWY,LITCHFIELD,NH ,03052
ABC KINDERGARTEN,TEXAS,9037931453,3505 BEECHWOOD LN,TEXARKANA,TX ,75501
ABC LEARNING CENTER INC,INDIANA,8123423029,6691 W STATE ROAD 46,COLUMBUS,IN ,47201
ABC LITTLE SCHOOL,CALIFORNIA,8187860310,14926 BURBANK BLVD,SHERMAN OAKS,CA ,91411
ABC LITTLE SCHOOL,CALIFORNIA,8187665557,11728 MOORPARK ST,STUDIO CITY,CA ,91604
ABC LITTLE SCHOOLS - WEST HOLLYWOOD,CALIFORNIA,3236549920,927 N FAIRFAX AVE,WEST HOLLYWOOD,CA ,90046
ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,GEORGIA,7709579998,483 WALKER DR,MCDONOUGH,GA ,30253
ABC OF NC CHILD DEVELOPMENT CENTER,NORTH CAROLINA,3362511180,3904 OLD VINEYARD RD,WINSTON SALEM,NC ,27104
ABC PLAYHOUSE,CALIFORNIA,3103711231,18213 PRAIRIE AVE,TORRANCE,CA ,90504
ABC PRESCHOOL & KINDERGARTEN CENTER,NEW YORK,7186722424,6620 LAUREL HILL BLVD,WOODSIDE,NY ,11377
ABC SCHOOL HOUSE,CALIFORNIA,8188428466,4102 W VICTORY BLVD,BURBANK,CA ,91505
ABC VILLAGE,CALIFORNIA,9514910940,40045 VILLAGE RD,TEMECULA,CA ,92591
ABC'S FOR CHILDREN,PENNSYLVANIA,4123444422,1630 GREENTREE RD,PITTSBURGH,PA ,15220
ABCD DAYCARE CENTER,IDAHO,2086645013,1124 N C ST,COEUR D'ALENE,ID ,83814
ABERCROMBIE ACADEMY,TEXAS,2813700663,17102 THEISS MAIL ROUTE RD,SPRING,TX ,77379
